Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
MTECU,MTech Acquisition Corp.,10.55,n/a,2018,Technology,EDP Services,https://www.nasdaq.com/symbol/mtecu
MTECW,MTech Acquisition Corp.,0.4875,n/a,2018,Technology,EDP Services,https://www.nasdaq.com/symbol/mtecw
MTSC,MTS Systems Corporation,41.28,$737.67M,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/mtsc
MUDS,Mudrick Capital Acquisition Corporation,9.88,$256.88M,2018,Finance,Business Services,https://www.nasdaq.com/symbol/muds
MUDSU,Mudrick Capital Acquisition Corporation,10.5,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/mudsu
MUDSW,Mudrick Capital Acquisition Corporation,0.5,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/mudsw
MLI,"Mueller Industries, Inc.",23.67,$1.37B,n/a,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/mli
MWA,Mueller Water Products Inc,9.19,$1.45B,2006,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/mwa
LABL,Multi-Color Corporation,35.24,$723.03M,1987,Miscellaneous,Publishing,https://www.nasdaq.com/symbol/labl
MVF,"MuniVest Fund, Inc.",8.42,$545.92M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/mvf
MZA,"MuniYield Arizona Fund, Inc.",12.64,$58.46M,1993,n/a,n/a,https://www.nasdaq.com/symbol/mza
MUR,Murphy Oil Corporation,25.61,$4.43B,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/mur
MUSA,Murphy USA Inc.,76.63,$2.47B,2013,Consumer Durables,Automotive Aftermarket,https://www.nasdaq.com/symbol/musa
MBIO,"Mustang Bio, Inc.",3.17,$86.43M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mbio
MFSF,MutualFirst Financial Inc.,27.69,$237.79M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/mfsf
MVO,MV Oil Trust,7.6901,$88.44M,2007,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/mvo
MVBF,MVB Financial Corp.,18,$208.86M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/mvbf
MVC,"MVC Capital, Inc.",8.77,$165.06M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/mvc
MVCD,"MVC Capital, Inc.",24.99,n/a,2017,n/a,n/a,https://www.nasdaq.com/symbol/mvcd
MYSZ,"My Size, Inc.",0.8701,$25.97M,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/mysz
MYE,"Myers Industries, Inc.",15.21,$537.71M,n/a,Consumer Non-Durables,Plastic Products,https://www.nasdaq.com/symbol/mye
MYL,Mylan N.V.,28.84,$14.87B,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/myl
MYND,"MYnd Analytics, Inc.",0.7501,$5.67M,n/a,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/mynd
MYNDW,"MYnd Analytics, Inc.",0.0764,n/a,n/a,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/myndw
MYOK,"MyoKardia, Inc.",42.33,$1.7B,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/myok
MYO,Myomo Inc.,1.5299,$19.02M,2017,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/myo
MYOS,MYOS RENS Technology Inc.,1.54,$11.51M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/myos
MYOV,Myovant Sciences Ltd.,17.06,$1.17B,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/myov
MYRG,"MYR Group, Inc.",29.2,$483.69M,n/a,Basic Industries,Water Supply,https://www.nasdaq.com/symbol/myrg
MYGN,"Myriad Genetics, Inc.",31.32,$2.34B,1995,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/mygn
NBR,Nabors Industries Ltd.,2.39,$855.13M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/nbr
NBR^A,Nabors Industries Ltd.,20.26,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nbr^a
NBRV,Nabriva Therapeutics plc,1.89,$126.6M,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/nbrv
NC,"NACCO Industries, Inc.",35.46,$246.19M,n/a,Consumer Durables,Consumer Electronics/Appliances,https://www.nasdaq.com/symbol/nc
NAKD,Naked Brand Group Limited,0.8363,$17.52M,n/a,Consumer Non-Durables,Apparel,https://www.nasdaq.com/symbol/nakd
NTP,Nam Tai Property Inc.,8.82,$331.42M,n/a,Finance,Real Estate,https://www.nasdaq.com/symbol/ntp
NNDM,Nano Dimension Ltd.,1.26,$24.34M,n/a,Technology,Electrical Products,https://www.nasdaq.com/symbol/nndm
NANO,Nanometrics Incorporated,27.6,$668.35M,1984,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/nano
NSTG,"NanoString Technologies, Inc.",16.51,$509.03M,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/nstg
NAOV,"NanoVibronix, Inc.",3.35,$13.41M,n/a,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/naov
NNVC,"NanoViricides, Inc.",0.2702,$18.75M,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://www.nasdaq.com/symbol/nnvc
NH,"NantHealth, Inc.",0.6172,$67.58M,2016,Technology,EDP Services,https://www.nasdaq.com/symbol/nh
NK,"NantKwest, Inc.",1.33,$105.37M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/nk
NSSC,"NAPCO Security Technologies, Inc.",14.84,$275.65M,n/a,Consumer Durables,Telecommunications Equipment,https://www.nasdaq.com/symbol/nssc
ATEST,NASDAQ TEST STOCK,25,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/atest
ATEST.A,NASDAQ TEST STOCK,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/atest.a
ATEST.B,NASDAQ TEST STOCK,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/atest.b
ATEST.C,NASDAQ TEST STOCK,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/atest.c
NTEST,NASDAQ TEST STOCK,22.51,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ntest
NTEST.A,NASDAQ TEST STOCK,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ntest.a
NTEST.B,NASDAQ TEST STOCK,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ntest.b
NTEST.C,NASDAQ TEST STOCK,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ntest.c
NDAQ,"Nasdaq, Inc.",81.95,$13.44B,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/ndaq
NTRA,"Natera, Inc.",12.68,$783.92M,2015,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/ntra
NATH,"Nathan&#39;s Famous, Inc.",67.14,$281.42M,1993,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/nath
NAUH,"National American University Holdings, Inc.",0.2702,$6.58M,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/nauh
NBHC,National Bank Holdings Corporation,32.08,$987.06M,2012,Finance,Major Banks,https://www.nasdaq.com/symbol/nbhc
NKSH,"National Bankshares, Inc.",37.16,$258.56M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/nksh
FIZZ,National Beverage Corp.,72.69,$3.39B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/fizz
NCMI,"National CineMedia, Inc.",6.99,$551.92M,2007,Consumer Services,Advertising,https://www.nasdaq.com/symbol/ncmi
NCOM,National Commerce Corporation,37.61,$777.65M,2015,Finance,Major Banks,https://www.nasdaq.com/symbol/ncom
NESR,National Energy Services Reunited Corp.,8.7,$744.4M,2017,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/nesr
NESRW,National Energy Services Reunited Corp.,1.15,n/a,2017,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/nesrw
NFG,National Fuel Gas Company,52.66,$4.53B,n/a,Public Utilities,Oil/Gas Transmission,https://www.nasdaq.com/symbol/nfg
NGHC,National General Holdings Corp,24.47,$2.76B,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/nghc
NGHCN,National General Holdings Corp,21.49,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/nghcn
NGHCO,National General Holdings Corp,21.92,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/nghco
NGHCP,National General Holdings Corp,22.69,$49.92M,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/nghcp
NGHCZ,National General Holdings Corp,23.1,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/nghcz
NGG,"National Grid Transco, PLC",49.78,$33.84B,n/a,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/ngg
NHI,"National Health Investors, Inc.",76.25,$3.22B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/nhi
NHC,National HealthCare Corporation,77.76,$1.18B,n/a,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/nhc
NHLD,National Holdings Corporation,3.04,$38.13M,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/nhld
NHLDW,National Holdings Corporation,0.5,n/a,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/nhldw
NATI,National Instruments Corporation,44.58,$5.9B,1995,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/nati
NOV,"National Oilwell Varco, Inc.",26.73,$10.25B,n/a,Energy,Metal Fabrications,https://www.nasdaq.com/symbol/nov
NPK,"National Presto Industries, Inc.",117.76,$821.92M,n/a,Capital Goods,Ordnance And Accessories,https://www.nasdaq.com/symbol/npk
NRC,National Research Corporation,38.08,$1.11B,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://www.nasdaq.com/symbol/nrc
NNN,National Retail Properties,47.81,$7.61B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/nnn
NNN^E,National Retail Properties,23.78,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nnn^e
NNN^F,National Retail Properties,21.8572,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nnn^f
NSEC,"National Security Group, Inc.",12.54,$31.69M,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/nsec
SID,National Steel Company,2.6,$3.59B,n/a,Capital Goods,Steel/Iron Ore,https://www.nasdaq.com/symbol/sid
NSA,National Storage Affiliates Trust,25.36,$1.43B,2015,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/nsa
NSA^A,National Storage Affiliates Trust,23.75,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nsa^a
EYE,"National Vision Holdings, Inc.",27.73,$2.14B,2017,Health Care,Ophthalmic Goods,https://www.nasdaq.com/symbol/eye
NWLI,"National Western Life Group, Inc.",302.55,$1.1B,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/nwli
NAII,"Natural Alternatives International, Inc.",10.05,$76.09M,n/a,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/naii
NGS,"Natural Gas Services Group, Inc.",18.29,$239.91M,2002,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/ngs
NGVC,"Natural Grocers by Vitamin Cottage, Inc.",15.72,$352.01M,2012,Consumer Services,Food Chains,https://www.nasdaq.com/symbol/ngvc
NHTC,Natural Health Trends Corp.,19.77,$224.91M,n/a,Consumer Durables,Consumer Specialties,https://www.nasdaq.com/symbol/nhtc
NRP,Natural Resource Partners LP,38.3,$469.02M,2002,Energy,Coal Mining,https://www.nasdaq.com/symbol/nrp
NATR,"Nature&#39;s Sunshine Products, Inc.",8.19,$157.28M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/natr
BABY,Natus Medical Incorporated,33.38,$1.13B,2001,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/baby
NTZ,"Natuzzi, S.p.A.",0.871,$47.78M,1993,Consumer Durables,Home Furnishings,https://www.nasdaq.com/symbol/ntz
NLS,"Nautilus Group, Inc. (The)",11.11,$330.93M,n/a,Consumer Non-Durables,Recreational Products/Toys,https://www.nasdaq.com/symbol/nls
NAVB,"Navidea Biopharmaceuticals, Inc.",0.127,$23.1M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/navb
JSM,Navient Corporation,16.91,n/a,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/jsm
NAVI,Navient Corporation,9.83,$2.54B,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/navi
NCI,"Navigant Consulting, Inc.",23.99,$1.02B,n/a,Consumer Services,Professional Services,https://www.nasdaq.com/symbol/nci
NVGS,Navigator Holdings Ltd.,9.85,$548.21M,2013,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/nvgs
NNA,Navios Maritime Acquisition Corporation,4.14,$55.04M,n/a,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/nna
NMCI,Navios Maritime Containers L.P.,3.17,$542.1M,n/a,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/nmci
NM,Navios Maritime Holdings Inc.,3.12,$3.89M,n/a,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/nm
NM^G,Navios Maritime Holdings Inc.,3.89,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nm^g
NM^H,Navios Maritime Holdings Inc.,3.92,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nm^h
NMM,Navios Maritime Partners LP,0.9869,$165.39M,2007,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/nmm
NAV,Navistar International Corporation,27.16,$2.69B,n/a,Capital Goods,Auto Manufacturing,https://www.nasdaq.com/symbol/nav
NAV^D,Navistar International Corporation,23.63,n/a,n/a,Capital Goods,Auto Manufacturing,https://www.nasdaq.com/symbol/nav^d
NBTB,NBT Bancorp Inc.,35.67,$1.56B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/nbtb
NCS,"NCI Building Systems, Inc.",7.82,$980.22M,n/a,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/ncs
NCR,NCR Corporation,24.02,$2.84B,n/a,Miscellaneous,Office Equipment/Supplies/Services,https://www.nasdaq.com/symbol/ncr
NCSM,"NCS Multistage Holdings, Inc.",5.36,$241.26M,2017,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/ncsm
NEBU,Nebula Acquisition Corporation,9.7501,$335.16M,2018,Finance,Business Services,https://www.nasdaq.com/symbol/nebu
NEBUU,Nebula Acquisition Corporation,10.06,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/nebuu
NEBUW,Nebula Acquisition Corporation,1.3452,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/nebuw
NP,"Neenah, Inc.",59.95,$1.01B,n/a,Basic Industries,Paper,https://www.nasdaq.com/symbol/np
NKTR,Nektar Therapeutics,33.96,$5.88B,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/nktr
NNI,"Nelnet, Inc.",54.4,$2.22B,2003,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/nni
NMRD,Nemaura Medical Inc.,0.9254,$191.81M,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/nmrd
NEOG,Neogen Corporation,56.1,$2.92B,1989,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/neog
NEO,"NeoGenomics, Inc.",12.53,$1.18B,n/a,Health Care,Precision Instruments,https://www.nasdaq.com/symbol/neo
NTGN,"Neon Therapeutics, Inc.",5,$141.57M,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/ntgn
NEON,Neonode Inc.,1.95,$11.43M,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/neon
NPTN,NeoPhotonics Corporation,6.7,$308.53M,2011,Technology,Semiconductors,https://www.nasdaq.com/symbol/nptn
NEOS,"Neos Therapeutics, Inc.",2.25,$111.77M,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/neos
NVCN,Neovasc Inc.,0.6075,$14.36M,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/nvcn
NEPT,Neptune Wellness Solutions Inc.,2.89,$230.86M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/nept
UEPS,"Net 1 UEPS Technologies, Inc.",4.8,$272.8M,2005,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/ueps
NETE,"Net Element, Inc.",6.34,$24.49M,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/nete
NTAP,"NetApp, Inc.",59.43,$14.97B,1995,Technology,Electronic Components,https://www.nasdaq.com/symbol/ntap
NTES,"NetEase, Inc.",229.75,$30.17B,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/ntes
NFLX,"Netflix, Inc.",297.57,$129.77B,2002,Consumer Services,Consumer Electronics/Video Chains,https://www.nasdaq.com/symbol/nflx
NTGR,"NETGEAR, Inc.",34.91,$1.1B,2003,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/ntgr
NTCT,"NetScout Systems, Inc.",23.74,$1.84B,1999,Technology,EDP Services,https://www.nasdaq.com/symbol/ntct
NETS,Netshoes (Cayman) Limited,1.6,$49.69M,2017,Consumer Services,Catalog/Specialty Distribution,https://www.nasdaq.com/symbol/nets
NTWK,NetSol Technologies Inc.,6.52,$76.89M,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ntwk
NTIP,"Network-1 Technologies, Inc.",2.39,$56.77M,n/a,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/ntip
NBW,Neuberger Berman California Municipal Fund Inc,12.3,$68.28M,2002,n/a,n/a,https://www.nasdaq.com/symbol/nbw
NHS,Neuberger Berman High Yield Strategies Fund,9.9,$193.45M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nhs
NML,Neuberger Berman MLP Income Fund Inc.,7.08,$401.15M,2013,n/a,n/a,https://www.nasdaq.com/symbol/nml
NBH,Neuberger Berman Municipal Fund Inc.,12.9898,$244.26M,2002,n/a,n/a,https://www.nasdaq.com/symbol/nbh
NBO,Neuberger Berman New York Municipal Fund Inc.,11.34,$57.57M,2002,n/a,n/a,https://www.nasdaq.com/symbol/nbo
NRO,"Neuberger Berman Real Estate Securities Income Fund, Inc.",4.21,$199.64M,2003,n/a,n/a,https://www.nasdaq.com/symbol/nro
CUR,"Neuralstem, Inc.",0.3669,$6.68M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/cur
NBIX,"Neurocrine Biosciences, Inc.",74.71,$6.77B,1996,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/nbix
NURO,"NeuroMetrix, Inc.",0.86,$6.33M,2004,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/nuro
NUROW,"NeuroMetrix, Inc.",0.0163,n/a,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/nurow
STIM,"Neuronetics, Inc.",19.19,$337.35M,2018,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/stim
NTRP,"Neurotrope, Inc.",3.86,$30.53M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ntrp
UWN,"Nevada Gold & Casinos, Inc.",2.43,$43.17M,n/a,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/uwn
NVRO,Nevro Corp.,37.42,$1.13B,2014,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/nvro
NSU,Nevsun Resources Ltd,4.48,$1.36B,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/nsu
NBEV,New Age Beverages Corporation,5.42,$406.86M,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/nbev
HYB,"New America High Income Fund, Inc. (The)",7.74,$180.88M,1988,n/a,n/a,https://www.nasdaq.com/symbol/hyb
GBR,"New Concept Energy, Inc",1.591,$8.16M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/gbr
NEN,New England Realty Associates Limited Partnership,52.9,$197.4M,n/a,Consumer Services,Building operators,https://www.nasdaq.com/symbol/nen
NFC,New Frontier Corporation,9.8,$396.53M,2018,Finance,Business Services,https://www.nasdaq.com/symbol/nfc
NFC.U,New Frontier Corporation,n/a,n/a,2018,n/a,n/a,https://www.nasdaq.com/symbol/nfc.u
NFC.WS,New Frontier Corporation,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nfc.ws
GF,"New Germany Fund, Inc. (The)",12.0639,$192.43M,1990,n/a,n/a,https://www.nasdaq.com/symbol/gf
NGD,New Gold Inc.,0.8937,$517.23M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/ngd
NWHM,New Home Company Inc. (The),6.34,$129.58M,2014,Capital Goods,Homebuilding,https://www.nasdaq.com/symbol/nwhm
IRL,"New Ireland Fund, Inc. (The)",8.39,$41.8M,1990,n/a,n/a,https://www.nasdaq.com/symbol/irl
NEWM,New Media Investment Group Inc.,12.35,$744.67M,2014,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/newm
NMFC,New Mountain Finance Corporation,12.99,$988.62M,2011,n/a,n/a,https://www.nasdaq.com/symbol/nmfc
NMFX,New Mountain Finance Corporation,24.7,n/a,2018,n/a,n/a,https://www.nasdaq.com/symbol/nmfx
EDU,"New Oriental Education & Technology Group, Inc.",56.57,$8.96B,2006,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/edu
NEWR,"New Relic, Inc.",80.88,$4.61B,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/newr
NRZ,New Residential Investment Corp.,14.8,$5.04B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/nrz
SNR,New Senior Investment Group Inc.,4.27,$350.78M,2014,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/snr
NYCB,"New York Community Bancorp, Inc.",9.94,$4.87B,n/a,Finance,Banks,https://www.nasdaq.com/symbol/nycb
NYCB^A,"New York Community Bancorp, Inc.",23.91,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nycb^a
NYCB^U,"New York Community Bancorp, Inc.",45.75,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nycb^u
NYMT,"New York Mortgage Trust, Inc.",6.11,$862.82M,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/nymt
NYMTN,"New York Mortgage Trust, Inc.",22.38,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/nymtn
NYMTO,"New York Mortgage Trust, Inc.",22.65,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/nymto
NYMTP,"New York Mortgage Trust, Inc.",22.2752,n/a,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/nymtp
NYT,New York Times Company (The),22.47,$3.71B,n/a,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/nyt
NEWA,"Newater Technology, Inc.",5.8,$62.69M,2017,Basic Industries,Miscellaneous,https://www.nasdaq.com/symbol/newa
NWL,Newell Brands Inc.,19.16,$8.94B,n/a,Consumer Non-Durables,Plastic Products,https://www.nasdaq.com/symbol/nwl
NFX,Newfield Exploration Company,15.96,$3.2B,1993,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/nfx
NJR,NewJersey Resources Corporation,45.26,$4.01B,n/a,Public Utilities,Oil/Gas Transmission,https://www.nasdaq.com/symbol/njr
NLNK,NewLink Genetics Corporation,1.55,$57.7M,2011,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/nlnk
NMRK,"Newmark Group, Inc.",8.58,$1.51B,2017,n/a,n/a,https://www.nasdaq.com/symbol/nmrk
NEU,NewMarket Corporation,411.42,$4.69B,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/neu
NEM,Newmont Mining Corporation,34.38,$18.31B,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/nem
NR,"Newpark Resources, Inc.",7.59,$689.23M,n/a,Energy,Metal Fabrications,https://www.nasdaq.com/symbol/nr
NWS,News Corporation,11.96,$6.99B,n/a,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/nws
NWSA,News Corporation,11.77,$6.88B,n/a,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/nwsa
NEWT,Newtek Business Services Corp.,18.2,$343.95M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/newt
NEWTI,Newtek Business Services Corp.,25.48,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/newti
NEWTZ,Newtek Business Services Corp.,25.5339,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/newtz
NEXA,Nexa Resources S.A.,12.24,$1.63B,2017,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/nexa
NXEO,"Nexeo Solutions, Inc.",8.81,$790.24M,n/a,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/nxeo
NXEOU,"Nexeo Solutions, Inc.",9.12,n/a,2014,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/nxeou
NXEOW,"Nexeo Solutions, Inc.",0.42,n/a,n/a,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/nxeow
NXE,Nexgen Energy Ltd.,1.81,$633.88M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/nxe
NXRT,"NexPoint Residential Trust, Inc.",35.52,$834.71M,2015,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/nxrt
NHF,NexPoint Strategic Opportunities Fund,20.24,$460.22M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nhf
NXST,"Nexstar Media Group, Inc.",79.95,$3.69B,2003,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/nxst
NEXT,NextDecade Corporation,4.57,$499.44M,2015,Public Utilities,Oil & Gas Production,https://www.nasdaq.com/symbol/next
NEP,"NextEra Energy Partners, LP",44.82,$2.51B,2014,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/nep
NEE,"NextEra Energy, Inc.",172.53,$82.46B,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/nee
NEE^I,"NextEra Energy, Inc.",23.1868,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nee^i
NEE^J,"NextEra Energy, Inc.",22.97,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nee^j
NEE^K,"NextEra Energy, Inc.",24.26,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nee^k
NEE^R,"NextEra Energy, Inc.",57.66,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nee^r
NXGN,"NextGen Healthcare, Inc.",15.51,$1B,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/nxgn
